app/(tests)/tests/aesthetic-devising/page.tsx(68,142): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/aesthetic-devising/page.tsx(69,21): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/aesthetic-devising/page.tsx(70,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/aesthetic-devising/page.tsx(71,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/aesthetic-devising/page.tsx(72,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(3,59): error TS2307: Cannot find module 'react' or its corresponding type declarations.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(4,27): error TS2307: Cannot find module 'next/navigation' or its corresponding type declarations.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(362,9): error TS2875: This JSX tag requires the module path 'react/jsx-runtime' to exist, but none could be found. Make sure you have types for the appropriate package installed.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(364,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(365,21): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(366,25): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(366,118): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(367,25): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(367,71): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(367,110): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(367,141): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(tests)/tests/campaign-landing/[slug]/review-controls.tsx(368,21): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
